draw,start_opt,land_opt,dist,best_f,evals
67,1,5,0.0006705059716897615,8.888906095615165e-05,1500
68,0,5,0.0025898029861512553,0.0012532676447933567,1500
70,3,5,0.001838321102236022,0.0006927129199152817,1500
72,0,0,0.0004323868897272638,6.31981732760122e-05,1500
71,5,5,0.00010125382445523936,1.9284879647046817e-06,1500
73,3,5,0.0012585278805879458,0.00033341425180486887,1500
74,0,0,0.0004306763636761556,6.267515681369025e-05,1500
76,0,5,0.0010086921199320086,0.0001938785462266889,1500
75,0,0,2.989741594430635,222.64085578599273,1500
77,3,5,0.0011002309183683167,0.00022418624522508923,1500
78,4,5,0.0006803413847066462,8.82215513465368e-05,1500
79,3,5,0.0006795189731541671,8.665580453242811e-05,1500
80,3,5,0.0004884107285551342,4.651717324392284e-05,1500
81,5,5,0.0005575016984963767,5.8407537753599874e-05,1500
82,0,0,0.0010537881755387736,0.00037518062962746705,1500
83,4,4,0.0002412295935374878,1.4721861295896425e-05,1500
84,5,5,0.00020422088625557595,8.039584751682165e-06,1500
85,3,5,0.0011028620413264132,0.00023890347230191727,1500
86,0,5,0.0008538226954857166,0.00013530392932467071,1500
87,2,5,0.0032532823676896493,0.001994594501076012,1500
88,4,5,0.0019442655633227358,0.0007158832522063747,1500
89,0,5,0.00420767148946143,0.003343335919370181,1500
90,5,5,0.0005643065512067538,6.220987987351437e-05,1500
91,0,5,0.001130981579538455,0.00023843191438008128,1500
92,1,0,0.0005901447800063448,0.00011754358503461115,1500
93,4,5,0.002603189770146037,0.0013074222472021107,1500
95,4,5,0.0008861923533868566,0.00015548584156892825,1500
94,5,5,0.00045645825762088537,3.923867394725212e-05,1500
97,4,5,0.0007704179968396022,0.00011350572394817347,1500
96,1,1,9.603237595519957e-05,2.9037152273958982e-06,1500
98,2,5,0.0009801635326952573,0.00018325270387408132,1500
99,2,5,0.0005051527111582448,4.820403775269419e-05,1500
101,3,5,0.0012511026947292637,0.0002941512848349749,1500
100,3,5,0.00205532331402983,0.0007989762298851273,1500
102,2,5,0.0011060710480797268,0.00023103132517370174,1500
103,3,5,0.002216675027589361,0.0009830035761163318,1500
105,1,5,0.00013708789327289487,3.590774012123129e-06,1500
104,4,5,0.00019491116977811404,7.23618939393972e-06,1500
106,4,4,0.0003253299463916903,2.795559737689912e-05,1500
107,3,5,0.0005468576395335193,5.898934532394057e-05,1500
108,5,5,0.0008959777829827815,0.00015121325243790598,1500
110,2,5,0.001198635335899482,0.00026975578902399327,1500
109,5,5,0.0003675814961093688,2.52501890104477e-05,1500
112,5,5,0.0019036911557370026,0.0006735851999189081,1500
113,3,5,0.0004192611373083471,3.443181192170001e-05,1500
111,4,5,0.0008152080038680161,0.00012559685744956348,1500
114,4,4,0.00018716836976501728,1.0124970817879061e-05,1500
115,1,4,0.0004949447470844055,6.840051446832938e-05,1500
116,1,5,0.0002202180029270157,9.520760011851096e-06,1500
118,2,5,0.0026774351819738532,0.0013602385460148244,1500
117,4,4,0.00010919332368767007,3.038871039883992e-06,1500
119,2,5,0.002145840977555342,0.0008664928238352088,1500
120,4,5,0.0011639378124249412,0.0002638900948300715,1500
121,1,0,0.0014593202408091923,0.0007185373280884978,1500
122,3,5,0.00043045101764418775,3.510473882852903e-05,1500
123,0,1,0.00034676687417544024,3.789620534329263e-05,1500
124,4,5,0.000702640491605349,9.49433392666528e-05,1500
126,0,0,2.7710287843575085,228.23185745253778,1500
125,1,1,0.00036206915087123767,4.128436113416381e-05,1500
127,4,5,0.0007603491990556076,0.00011535464822412536,1500
128,0,5,0.00047194449347472806,4.221509887659153e-05,1500
129,3,5,0.0009349410720778081,0.00016940096740140404,1500
130,5,5,0.0004992543876903665,4.8356214225235786e-05,1500
131,2,5,0.0010342975224353484,0.00020768715693996265,1500
132,0,0,0.001060269954075569,0.00038002860618258983,1500
133,5,5,0.0008666852839179525,0.0001418086590331964,1500
134,4,5,0.00015280340042158103,4.389127431911831e-06,1500
135,4,4,0.000340415345471325,3.141345429526408e-05,1500
136,5,5,0.0024643273353417393,0.0012366911975122453,1500
137,3,5,0.003708319969052812,0.002603734922229783,1500
138,1,1,0.0004477723181537423,6.306580041275198e-05,1500
139,5,5,0.0007826315282342693,0.00012424692358933582,1500
140,3,5,0.001463434563422783,0.000418920889301822,1500
141,4,5,0.0012322725813531392,0.00029248353709209005,1500
142,5,5,0.0004090973960276079,3.17416507578378e-05,1500
143,0,5,0.001086051271910795,0.00023136205552319394,1500
144,5,5,0.0007946946793149538,0.00012178567673894455,1500
145,4,5,0.0017618900758014594,0.0005732080965418434,1500
146,5,5,0.001113340042320676,0.0002389604939889111,1500
147,2,5,0.000927737788145751,0.00016524568856487797,1500
148,0,0,2.815245700157371,220.72228825044132,1500
149,4,4,0.00019827252140996174,1.1459541389347762e-05,1500
150,5,5,0.0004995831999880288,4.7162656902312616e-05,1500
152,1,5,0.0005480368633591549,5.6234622066590334e-05,1500
